Area,Average dietary energy supply adequacy (percent) (3-year average),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),"Gross domestic product per capita, PPP, (constant 2017 international $)",Prevalence of undernourishment (percent) (3-year average),Prevalence of severe food insecurity in the male adult population (percent) (3-year average),Prevalence of severe food insecurity in the female adult population (percent) (3-year average),Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),Cereal import dependency ratio (percent) (3-year average),Percent of arable land equipped for irrigation (percent) (3-year average),Value of food imports in total merchandise exports (percent) (3-year average),Political stability and absence of violence/terrorism (index),Per capita food supply variability (kcal/cap/day),Percentage of population using safely managed drinking water services (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Prevalence of obesity in the adult population (18 years and older) (percent),Number of obese adults (18 years and older) (million),Prevalence of anemia among women of reproductive age (15-49 years) (percent),Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),Prevalence of low birthweight (percent),Minimum dietary energy requirement  (kcal/cap/day),Average dietary energy requirement (kcal/cap/day),Coefficient of variation of habitual caloric consumption distribution (real number),Incidence of caloric losses at retail distribution level (percent),Average fat supply (g/cap/day) (3-year average),Rail lines density (total route in km per 100 square km of land area),Percentage of population using safely managed sanitation services (percent)
Tunisia,148,3475,3469,47,103,32.3,12328.5,3.2,11.8,10.7,27,26.4,72,3.2,15,-0.6,22,74,97,97,,8.6,19,26.8,2.4,32.1,,8.2,1821,2352,0.3,3.45,99.4,1.1,81
Türkiye,133,3232,3217,40,115.8,47,33061.1,<2.5,,,,,38.4,6.8,7,-1.04,5,,97,99,,5.5,8.1,33.3,20.6,,,12.9,1868,2416,0.24,3.57,140.1,1.3,79
Turkmenistan,123,2822,2836,52,99.7,45.8,,4.1,,,,,17.7,4.2,5,-0.1,11,95,99,99,,6.7,3.6,21.4,0.9,26.6,,4.3,1794,2312,0.24,2.54,80.9,1.6,
Tuvalu,,,,35,93.3,52.5,5066.3,,,,,,,,7966,1.18,,9,99,84,,5.2,4.2,64.2,<0.1,27.5,,,,,,3.02,103.9,,37
Uganda,98,2167,2169,42,51.6,12.4,2728.5,36.9,22.8,23.2,71.3,71.1,14.4,0.1,22,-0.81,20,19,59,21,,23.4,3.5,7.9,1.8,32.8,,,1717,2212,0.36,5.28,50.8,0.1,18
Ukraine,116,2870,2887,43,91.1,45.9,14950.5,5.8,5.2,5.4,27.1,34.8,-361.9,3.7,9,-2,34,88,94,98,,12.3,13.6,23.6,7.7,17.7,,5.7,1918,2479,0.23,2.42,86.3,3.6,72
United Arab Emirates,127,3589,3378,37,115.5,58.8,73724.3,2.7,1.5,1.2,11.8,8.3,97.5,1.3,4,0.7,71,,99,99,,,,32.1,2.5,24.3,,13.9,2038,2659,0.23,3.37,135.9,0.3,98
United Kingdom of Great Britain and Northern Ireland,135,3375,3369,33,110,64.8,55183.6,<2.5,2.6,2.5,5.5,5.9,26.8,0.9,12,0.5,21,99,99,99,,,11.3,26.8,14.3,11.1,,6.8,1924,2498,0.21,2.05,139.8,6.6,98
United Republic of Tanzania,110,2372,2373,58,57.5,13.2,3504.2,23.8,25.6,25.2,58.3,58.1,-0.9,0.4,13,-0.27,20,11,61,31,3.1,30.6,4.6,12.6,4.1,38.9,64.3,9.7,1680,2159,0.36,3.4,57.2,0.3,25
United States of America,153,3914,3906,23,123.5,84,71308.9,<2.5,0.6,1,7.3,10.8,-23.1,2.9,9,-0.04,27,98,99,99,,3.6,7.9,42,110.9,11.8,,8.3,1967,2560,0.17,1.95,177.3,1.5,97
Uruguay,133,3235,3240,36,100.6,59.8,30983.7,<2.5,2.4,3.3,12.7,18.7,-81.9,1.5,13,1.1,32,,99,98,,6.1,11.5,33.3,0.9,15,,7.8,1885,2445,0.17,2.82,119.8,0.9,
Uzbekistan,140,3333,3300,46,105,47.5,8447.5,<2.5,,,,,27.9,9.8,20,-0.2,60,80,97,96,,6.9,4.2,30,6.8,24.8,,5.8,1826,2358,0.25,2.68,100.8,1.1,74
Vanuatu,130,2853,2821,48,73.6,27.9,3074.1,7.9,2.4,2.4,23.3,23.3,96.9,,137,0.95,17,,91,47,,31.4,5.1,21.3,<0.1,28.5,,13.1,1690,2174,0.32,2.96,112.1,,
Venezuela (Bolivarian Republic of),99,2353,2324,42,62.6,29.5,,17.6,,,,,57,1.2,49,-1.26,171,,93,98,,10.5,6.9,22.7,4.3,24.2,,9.3,1826,2362,0.2,2.65,76.9,0,27
Viet Nam,133,3084,3068,56,96.9,38.9,13102.3,5.2,1.7,2.4,9,12.5,14,14.6,6,-0.03,20,58,98,92,,19.3,8.1,2,1.5,20.6,,6.3,1789,2306,0.3,3.37,63.9,1,44
Yemen,95,2017,2086,62,59.3,12.9,,39.5,,,68.9,76.1,92.8,1.3,344,-2.48,83,,62,55,,35.1,1.7,13.7,2.5,61.5,,,1712,2208,0.4,2.25,41.2,,19
Zambia,98,2155,2171,70,47.4,13.5,3610.7,35.4,,,,,-9.8,0.2,4,0.1,37,,68,36,,31.4,5.4,11.1,1.1,31.5,,11.2,1719,2214,0.37,3.01,47.4,0.2,
Zimbabwe,90,2032,2043,51,57.3,29.9,3420,38.1,25.3,26.8,70.2,71.2,33.5,0.5,17,-0.88,40,26,62,35,,21.6,2.7,14.2,1.2,28.9,,11.8,1757,2265,0.27,2.72,72.7,0.8,32
